sample_id,winner,left_is,swapped,timestamp
batch_00000/sample_00000,baseline,checkpoint,True,2026-08-06T15:20:35
batch_00000/sample_00001,baseline,baseline,False,2026-08-06T15:20:38
batch_00000/sample_00002,checkpoint,baseline,False,2026-08-06T15:20:41
batch_00000/sample_00003,baseline,baseline,False,2026-08-06T15:20:45
batch_00000/sample_00004,checkpoint,checkpoint,True,2026-08-06T15:20:46
batch_00000/sample_00005,baseline,checkpoint,True,2026-08-06T15:20:50
batch_00000/sample_00006,baseline,checkpoint,True,2026-08-06T15:20:53
batch_00000/sample_00007,baseline,checkpoint,True,2026-08-06T15:20:56
batch_00000/sample_00008,baseline,checkpoint,True,2026-08-06T15:20:58
batch_00000/sample_00009,baseline,checkpoint,True,2026-08-06T15:21:00
batch_00000/sample_00010,baseline,checkpoint,True,2026-08-06T15:21:02
batch_00000/sample_00011,baseline,checkpoint,True,2026-08-06T15:21:05
batch_00000/sample_00012,baseline,checkpoint,True,2026-08-06T15:21:07
batch_00000/sample_00013,baseline,baseline,False,2026-08-06T15:21:58
batch_00000/sample_00014,baseline,baseline,False,2026-08-06T15:22:49
batch_00000/sample_00015,baseline,checkpoint,True,2026-08-06T15:22:53
batch_00000/sample_00016,baseline,checkpoint,True,2026-08-06T15:22:55
batch_00000/sample_00017,baseline,baseline,False,2026-08-06T15:22:57
batch_00000/sample_00018,checkpoint,checkpoint,True,2026-08-06T15:23:00
batch_00000/sample_00019,baseline,checkpoint,True,2026-08-06T15:23:02
batch_00000/sample_00020,baseline,baseline,False,2026-08-06T15:23:05
batch_00000/sample_00021,checkpoint,checkpoint,True,2026-08-06T15:23:07
batch_00000/sample_00022,baseline,baseline,False,2026-08-06T15:23:09
batch_00000/sample_00023,baseline,baseline,False,2026-08-06T15:23:14
batch_00000/sample_00024,baseline,baseline,False,2026-08-06T15:23:16
batch_00000/sample_00025,checkpoint,checkpoint,True,2026-08-06T15:23:18
batch_00000/sample_00026,baseline,baseline,False,2026-08-06T15:23:40
batch_00000/sample_00027,baseline,checkpoint,True,2026-08-06T15:23:43
batch_00000/sample_00028,baseline,checkpoint,True,2026-08-06T15:23:44
batch_00000/sample_00029,baseline,baseline,False,2026-08-06T15:23:47
batch_00000/sample_00030,baseline,baseline,False,2026-08-06T15:24:05
batch_00000/sample_00031,baseline,checkpoint,True,2026-08-06T15:24:07
batch_00000/sample_00032,baseline,baseline,False,2026-08-06T15:24:08
batch_00000/sample_00033,baseline,checkpoint,True,2026-08-06T15:24:10
batch_00000/sample_00034,baseline,checkpoint,True,2026-08-06T15:24:12
batch_00000/sample_00035,baseline,baseline,False,2026-08-06T15:24:14
batch_00000/sample_00036,baseline,checkpoint,True,2026-08-06T15:24:15
batch_00000/sample_00037,baseline,baseline,False,2026-08-06T15:24:16
batch_00000/sample_00038,baseline,baseline,False,2026-08-06T15:24:18
batch_00000/sample_00039,baseline,checkpoint,True,2026-08-06T15:24:28
