sample_id,winner,left_is,swapped,timestamp
batch_00000/sample_00150,checkpoint,checkpoint,True,2026-08-08T13:21:19
batch_00000/sample_00127,baseline,checkpoint,True,2026-08-08T13:20:26
batch_00000/sample_00043,checkpoint,checkpoint,True,2026-08-08T13:13:11
batch_00000/sample_00130,checkpoint,baseline,False,2026-08-08T13:20:31
batch_00000/sample_00204,checkpoint,baseline,False,2026-08-08T13:25:21
batch_00000/sample_00092,checkpoint,checkpoint,True,2026-08-08T13:17:17
batch_00000/sample_00353,baseline,checkpoint,True,2026-08-08T13:40:34
batch_00000/sample_00388,checkpoint,baseline,False,2026-08-08T13:42:01
batch_00000/sample_00371,checkpoint,checkpoint,True,2026-08-08T13:41:14
batch_00000/sample_00336,checkpoint,baseline,False,2026-08-08T13:37:40
batch_00000/sample_00301,checkpoint,baseline,False,2026-08-08T13:36:28
batch_00000/sample_00021,checkpoint,checkpoint,True,2026-08-08T13:12:09
batch_00000/sample_00343,checkpoint,baseline,False,2026-08-08T13:37:56
batch_00000/sample_00106,baseline,checkpoint,True,2026-08-08T13:17:56
batch_00000/sample_00144,baseline,checkpoint,True,2026-08-08T13:21:06
batch_00000/sample_00335,checkpoint,checkpoint,True,2026-08-08T13:37:38
batch_00000/sample_00329,baseline,baseline,False,2026-08-08T13:37:23
batch_00000/sample_00338,checkpoint,baseline,False,2026-08-08T13:37:45
batch_00000/sample_00023,checkpoint,baseline,False,2026-08-08T13:12:14
batch_00000/sample_00156,baseline,checkpoint,True,2026-08-08T13:21:33
batch_00000/sample_00182,checkpoint,baseline,False,2026-08-08T13:24:27
batch_00000/sample_00239,checkpoint,checkpoint,True,2026-08-08T13:33:32
batch_00000/sample_00119,baseline,baseline,False,2026-08-08T13:20:14
batch_00000/sample_00240,baseline,baseline,False,2026-08-08T13:33:41
batch_00000/sample_00235,checkpoint,baseline,False,2026-08-08T13:33:20
batch_00000/sample_00359,checkpoint,baseline,False,2026-08-08T13:40:47
batch_00000/sample_00319,checkpoint,baseline,False,2026-08-08T13:37:07
batch_00000/sample_00206,checkpoint,checkpoint,True,2026-08-08T13:25:25
batch_00000/sample_00199,checkpoint,checkpoint,True,2026-08-08T13:25:06
batch_00000/sample_00044,baseline,baseline,False,2026-08-08T13:13:13
batch_00000/sample_00015,checkpoint,checkpoint,True,2026-08-08T13:07:35
batch_00000/sample_00081,baseline,baseline,False,2026-08-08T13:16:33
batch_00000/sample_00005,checkpoint,checkpoint,True,2026-08-08T13:07:06
batch_00000/sample_00170,checkpoint,baseline,False,2026-08-08T13:22:15
batch_00000/sample_00399,baseline,checkpoint,True,2026-08-08T13:42:32
batch_00000/sample_00333,baseline,checkpoint,True,2026-08-08T13:37:30
batch_00000/sample_00285,baseline,baseline,False,2026-08-08T13:35:41
batch_00000/sample_00364,checkpoint,checkpoint,True,2026-08-08T13:40:59
batch_00000/sample_00063,checkpoint,baseline,False,2026-08-08T13:16:01
batch_00000/sample_00184,baseline,baseline,False,2026-08-08T13:24:31
batch_00000/sample_00368,checkpoint,baseline,False,2026-08-08T13:41:06
batch_00000/sample_00091,checkpoint,baseline,False,2026-08-08T13:17:15
batch_00000/sample_00327,checkpoint,checkpoint,True,2026-08-08T13:37:19
batch_00000/sample_00047,baseline,baseline,False,2026-08-08T13:13:23
batch_00000/sample_00268,baseline,baseline,False,2026-08-08T13:34:53
batch_00000/sample_00222,baseline,baseline,False,2026-08-08T13:26:56
batch_00000/sample_00014,checkpoint,baseline,False,2026-08-08T13:07:32
batch_00000/sample_00109,checkpoint,baseline,False,2026-08-08T13:18:04
batch_00000/sample_00189,baseline,baseline,False,2026-08-08T13:24:41
batch_00000/sample_00038,checkpoint,baseline,False,2026-08-08T13:13:01
batch_00000/sample_00166,baseline,checkpoint,True,2026-08-08T13:22:03
batch_00000/sample_00255,baseline,baseline,False,2026-08-08T13:34:18
batch_00000/sample_00205,checkpoint,baseline,False,2026-08-08T13:25:23
batch_00000/sample_00134,checkpoint,baseline,False,2026-08-08T13:20:45
batch_00000/sample_00000,baseline,checkpoint,True,2026-08-08T13:06:48
batch_00000/sample_00194,baseline,baseline,False,2026-08-08T13:24:52
batch_00000/sample_00191,checkpoint,baseline,False,2026-08-08T13:24:47
batch_00000/sample_00291,checkpoint,checkpoint,True,2026-08-08T13:35:58
batch_00000/sample_00057,checkpoint,baseline,False,2026-08-08T13:15:41
batch_00000/sample_00211,baseline,checkpoint,True,2026-08-08T13:25:46
batch_00000/sample_00064,checkpoint,baseline,False,2026-08-08T13:16:03
batch_00000/sample_00379,checkpoint,checkpoint,True,2026-08-08T13:41:35
batch_00000/sample_00242,baseline,checkpoint,True,2026-08-08T13:33:44
batch_00000/sample_00272,checkpoint,checkpoint,True,2026-08-08T13:35:13
batch_00000/sample_00303,baseline,checkpoint,True,2026-08-08T13:36:32
batch_00000/sample_00270,checkpoint,checkpoint,True,2026-08-08T13:35:00
batch_00000/sample_00214,checkpoint,checkpoint,True,2026-08-08T13:25:53
batch_00000/sample_00007,checkpoint,checkpoint,True,2026-08-08T13:07:13
batch_00000/sample_00340,checkpoint,baseline,False,2026-08-08T13:37:50
batch_00000/sample_00273,checkpoint,checkpoint,True,2026-08-08T13:35:14
batch_00000/sample_00348,checkpoint,baseline,False,2026-08-08T13:38:04
batch_00000/sample_00059,checkpoint,checkpoint,True,2026-08-08T13:15:45
batch_00000/sample_00190,checkpoint,baseline,False,2026-08-08T13:24:43
batch_00000/sample_00316,checkpoint,checkpoint,True,2026-08-08T13:37:02
batch_00000/sample_00378,checkpoint,checkpoint,True,2026-08-08T13:41:33
batch_00000/sample_00082,checkpoint,baseline,False,2026-08-08T13:16:38
batch_00000/sample_00027,checkpoint,checkpoint,True,2026-08-08T13:12:32
batch_00000/sample_00112,baseline,checkpoint,True,2026-08-08T13:18:18
batch_00000/sample_00093,baseline,checkpoint,True,2026-08-08T13:17:19
batch_00000/sample_00163,baseline,checkpoint,True,2026-08-08T13:21:57
batch_00000/sample_00090,baseline,checkpoint,True,2026-08-08T13:17:13
batch_00000/sample_00220,checkpoint,checkpoint,True,2026-08-08T13:26:52
batch_00000/sample_00297,checkpoint,baseline,False,2026-08-08T13:36:19
batch_00000/sample_00142,baseline,checkpoint,True,2026-08-08T13:21:02
batch_00000/sample_00357,checkpoint,baseline,False,2026-08-08T13:40:44
batch_00000/sample_00281,baseline,checkpoint,True,2026-08-08T13:35:29
batch_00000/sample_00215,checkpoint,baseline,False,2026-08-08T13:25:58
batch_00000/sample_00107,baseline,baseline,False,2026-08-08T13:17:58
batch_00000/sample_00072,baseline,baseline,False,2026-08-08T13:16:19
batch_00000/sample_00226,baseline,checkpoint,True,2026-08-08T13:27:06
